name;code;active;region_id;created_at;updated_at
Chivatá;15187;1;5;2021-04-02;2021-04-02
Chivolo;47170;1;15;2021-04-02;2021-04-02
Choachí;25181;1;11;2021-04-02;2021-04-02
Chocontá;25183;1;11;2021-04-02;2021-04-02
Chámeza;85015;1;26;2021-04-02;2021-04-02
Chía;25175;1;11;2021-04-02;2021-04-02
Chíquiza;15232;1;5;2021-04-02;2021-04-02
Chívor;15236;1;5;2021-04-02;2021-04-02
Cicuco;13188;1;4;2021-04-02;2021-04-02
Cimitarra;68190;1;21;2021-04-02;2021-04-02
Circasia;63190;1;19;2021-04-02;2021-04-02
Cisneros;05190;1;1;2021-04-02;2021-04-02
Ciénaga;15189;1;5;2021-04-02;2021-04-02
Ciénaga;47189;1;15;2021-04-02;2021-04-02
Ciénaga de Oro;23189;1;10;2021-04-02;2021-04-02
Clemencia;13222;1;4;2021-04-02;2021-04-02
Cocorná;05197;1;1;2021-04-02;2021-04-02
Coello;73200;1;23;2021-04-02;2021-04-02
Cogua;25200;1;11;2021-04-02;2021-04-02
Colombia;41206;1;13;2021-04-02;2021-04-02
Colosó (Ricaurte);70204;1;22;2021-04-02;2021-04-02
Colón;86219;1;27;2021-04-02;2021-04-02
Colón (Génova);52207;1;17;2021-04-02;2021-04-02
Concepción;05207;1;1;2021-04-02;2021-04-02
Concepción;68207;1;21;2021-04-02;2021-04-02
Concordia;05209;1;1;2021-04-02;2021-04-02
Concordia;47205;1;15;2021-04-02;2021-04-02
Condoto;27205;1;12;2021-04-02;2021-04-02
Confines;68209;1;21;2021-04-02;2021-04-02
Consaca;52207;1;17;2021-04-02;2021-04-02
Contadero;52210;1;17;2021-04-02;2021-04-02
Contratación;68211;1;21;2021-04-02;2021-04-02
Convención;54206;1;18;2021-04-02;2021-04-02
Copacabana;05212;1;1;2021-04-02;2021-04-02
Coper;15212;1;5;2021-04-02;2021-04-02
Cordobá;63212;1;19;2021-04-02;2021-04-02
Corinto;19212;1;8;2021-04-02;2021-04-02
Coromoro;68217;1;21;2021-04-02;2021-04-02
Corozal;70215;1;22;2021-04-02;2021-04-02
Corrales;15215;1;5;2021-04-02;2021-04-02
Cota;25214;1;11;2021-04-02;2021-04-02
Cotorra;23300;1;10;2021-04-02;2021-04-02
